Index,Score
0,"[3160.71826171875, 3157.498779296875, 3197.298583984375, 3175.016357421875, 3195.837646484375, 3185.0419921875, 3184.816162109375, 3197.69287109375, 3195.80029296875, 3184.474365234375, 3182.54833984375, 3155.98583984375]"
1,"[3141.346923828125, 3141.222900390625, 3195.0478515625, 3163.037109375, 3165.463134765625, 3097.769775390625, 3184.8505859375, 3184.920166015625, 3078.8662109375, 3184.441162109375, 3103.095458984375, 3158.10107421875]"
2,"[3125.5830078125, 3141.41650390625, 3197.250732421875, 3198.24951171875, 3195.8046875, 3138.1787109375, 3184.63427734375, 3184.79052734375, 3187.788818359375, 3184.347900390625, 3146.036865234375, 3132.20654296875]"
3,"[3157.03173828125, 3157.841064453125, 3195.0947265625, 3198.362548828125, 3187.565185546875, 3173.867431640625, 3184.81005859375, 3184.95458984375, 3195.865234375, 3175.324951171875, 3180.106689453125, 3156.239501953125]"
4,"[3141.418701171875, 3141.17626953125, 3195.07177734375, 3158.724853515625, 3195.890869140625, 3195.067138671875, 3184.769287109375, 3157.6640625, 3195.857421875, 3184.381591796875, 3174.093017578125, 3158.095458984375]"
5,"[3089.42236328125, 3172.2177734375, 3110.30712890625, 3071.36669921875, 3111.49755859375, 3195.101806640625, 3184.818359375, 3076.035400390625, 3109.292236328125, 3184.46044921875, 3173.696533203125, 3178.3173828125]"
6,"[3104.197021484375, 3178.017578125, 3182.949951171875, 3111.296875, 3111.423095703125, 3165.401123046875, 3184.729248046875, 3184.907958984375, 3195.80224609375, 3184.351806640625, 3110.86328125, 3078.608642578125]"
8,"[3191.38037109375, 3157.456787109375, 3183.092529296875, 3158.411865234375, 3111.5888671875, 3195.162109375, 3184.90380859375, 3185.115234375, 3185.1181640625, 3164.340087890625, 3111.009765625, 3192.710205078125]"
9,"[3190.810791015625, 3157.4873046875, 3183.081787109375, 3058.436767578125, 3166.118896484375, 3168.47216796875, 3184.62841796875, 3138.418212890625, 3165.410888671875, 3183.820556640625, 3196.322265625, 3122.57421875]"
10,"[3191.21484375, 3193.494873046875, 3153.411865234375, 3195.84619140625, 3155.849365234375, 3081.666748046875, 3155.81396484375, 3156.822998046875, 3155.061767578125, 3184.41552734375, 3196.961669921875, 3073.46875]"
11,"[3193.71875, 3134.234375, 3183.12939453125, 3195.842529296875, 3182.05224609375, 3161.9150390625, 3194.45263671875, 3185.029296875, 3088.34228515625, 3155.1142578125, 3159.936767578125, 3155.02734375]"
13,"[3193.6962890625, 3185.799560546875, 3157.97265625, 3166.35888671875, 3198.340087890625, 3185.346435546875, 3184.348876953125, 3186.89501953125, 3185.093994140625, 3184.60791015625, 3196.977783203125, 3159.502197265625]"
15,"[3078.818115234375, 3154.627685546875, 3152.949462890625, 3196.000732421875, 3111.5947265625, 3186.789794921875, 3107.8662109375, 3098.216796875, 3187.838134765625, 3184.425537109375, 3111.042724609375, 3192.5234375]"
18,"[3160.2197265625, 3075.158447265625, 3186.916015625, 3196.1259765625, 3195.791015625, 3161.963623046875, 3184.830078125, 3110.904296875, 3187.869140625, 3184.43505859375, 3194.788818359375, 3191.534423828125]"
20,"[3191.166748046875, 3172.3916015625, 3182.94970703125, 3184.58837890625, 3195.865966796875, 3173.802001953125, 3184.7265625, 3175.859375, 3195.834228515625, 3184.35205078125, 3081.012939453125, 3191.73193359375]"
22,"[3059.259765625, 3158.407470703125, 3123.288818359375, 3109.103271484375, 3195.88037109375, 3159.580078125, 3184.827880859375, 3021.50830078125, 3162.48583984375, 3148.390869140625, 3110.921630859375, 3106.59326171875]"
23,"[3104.703369140625, 3195.951904296875, 3110.3955078125, 3109.139404296875, 3185.351318359375, 3104.622802734375, 3175.65966796875, 3182.01171875, 3185.078857421875, 3184.476806640625, 3183.009033203125, 3073.65185546875]"
25,"[3172.65966796875, 3193.2783203125, 3110.446533203125, 3188.432373046875, 3182.261962890625, 3198.100830078125, 3184.70556640625, 3184.908935546875, 3111.77880859375, 3072.267333984375, 3182.264404296875, 3106.7451171875]"
26,"[3193.3701171875, 3193.689453125, 3197.023193359375, 3160.94921875, 3195.5849609375, 3194.726318359375, 3194.289306640625, 3182.05078125, 3088.41064453125, 3095.167724609375, 3196.341064453125, 3105.81005859375]"
28,"[3157.478271484375, 3196.95263671875, 3198.303466796875, 3095.238525390625, 3101.826416015625, 3156.858642578125, 3156.739501953125, 3195.595458984375, 3099.017578125, 3166.809814453125, 3097.50146484375, 3193.21728515625]"
